date,total_steps_taken
2025-05-01,6597
2025-05-02,7722
2025-05-03,5128
2025-05-04,945
2025-05-05,16654
2025-05-06,14142
2025-05-07,2446
2025-05-08,14154
2025-05-09,9091
2025-05-10,7202
2025-05-11,4381
2025-05-12,8365
2025-05-13,11775
2025-05-14,8379
2025-05-15,6843
2025-05-16,7694
2025-05-17,4440
2025-05-18,3290
2025-05-19,10036
2025-05-20,6293
2025-05-21,9139
2025-05-22,10720
2025-05-23,4751
2025-05-24,3534
2025-05-25,3640
2025-05-26,2885
2025-05-27,8105
2025-05-28,11396
2025-05-29,6152
2025-05-30,12185
2025-05-31,3078
