date,active_zone_minutes
2025-01-04,37
2025-01-05,22
2025-01-06,64
2025-01-07,79
2025-01-08,7
2025-01-09,47
2025-01-10,6
2025-01-11,1
2025-01-12,10
2025-01-13,122
2025-01-14,9
2025-01-15,6
2025-01-16,2
2025-01-17,17
2025-01-18,69
2025-01-19,2
2025-01-20,26
2025-01-21,7
2025-01-22,17
2025-01-23,48
2025-01-24,63
2025-01-25,45
2025-01-26,0
2025-01-27,100
2025-01-28,135
2025-01-29,3
2025-01-30,1
2025-01-31,6
2025-02-01,111
2025-02-02,28
2025-02-03,19
2025-02-04,7
2025-02-05,1
2025-02-06,5
2025-02-07,24
2025-02-08,9
2025-02-09,127
2025-02-10,4
2025-02-11,135
2025-02-12,0
2025-02-13,0
2025-02-14,4
2025-02-15,22
2025-02-16,10
2025-02-17,21
2025-02-18,3
2025-02-19,37
2025-02-20,7
2025-02-21,48
2025-02-22,8
2025-02-23,62
2025-02-24,6
2025-02-25,13
2025-02-26,33
2025-02-27,8
2025-02-28,7
2025-03-01,26
2025-03-02,11
2025-03-03,9
2025-03-04,11
2025-03-05,6
2025-03-06,6
2025-03-07,8
2025-03-08,49
2025-03-09,6
2025-03-10,161
2025-03-11,169
2025-03-12,94
2025-03-13,8
2025-03-14,126
2025-03-15,2
2025-03-16,0
2025-03-17,36
2025-03-18,3
2025-03-19,200
2025-03-20,21
2025-03-21,52
2025-03-22,0
2025-03-23,13
2025-03-24,44
2025-03-25,47
2025-03-26,100
2025-03-27,131
2025-03-28,258
2025-03-29,5
2025-03-30,3
2025-03-31,117
2025-04-01,11
2025-04-02,201
2025-04-03,30
2025-04-04,42
2025-04-05,6
2025-04-06,4
2025-04-07,175
2025-04-08,24
2025-04-09,1
2025-04-10,139
2025-04-11,37
2025-04-12,9
2025-04-13,1
2025-04-14,18
2025-04-15,3
2025-04-16,157
2025-04-17,0
2025-04-18,81
2025-04-19,41
2025-04-20,42
2025-04-21,66
2025-04-22,97
2025-04-23,5
2025-04-24,246
2025-04-25,89
2025-04-26,4
2025-04-27,76
2025-04-28,60
2025-04-29,47
2025-04-30,49
2025-05-01,182
2025-05-02,60
2025-05-03,1
2025-05-04,25
2025-05-05,54
2025-05-06,7
2025-05-07,0
2025-05-08,143
2025-05-09,20
2025-05-10,60
2025-05-11,7
2025-05-12,41
2025-05-13,79
2025-05-14,6
2025-05-15,164
2025-05-16,9
2025-05-17,4
2025-05-18,1
2025-05-19,81
2025-05-20,36
2025-05-21,5
2025-05-22,19
2025-05-23,21
2025-05-24,16
2025-05-25,29
2025-05-26,2
2025-05-27,38
2025-05-28,105
2025-05-29,24
2025-05-30,4
2025-05-31,8
